Name,Hours
Sins of a Solar Empire Rebellion,39.0
Far Cry 3,39.0
Darksiders II,38.0
Warframe,36.0
Age of Empires II HD Edition,34.0
Batman Arkham Asylum GOTY Edition,32.0
Team Fortress 2,31.0
Deus Ex Human Revolution,31.0
The Binding of Isaac,30.0
STAR WARS Knights of the Old Republic II The Sith Lords,29.0
Fallout New Vegas,28.0
Far Cry 4,28.0
Crusader Kings II,27.0
Assassin's Creed II,25.0
Risk of Rain,24.0
Darksiders,24.0
Mirror's Edge,23.0
Dark Souls Prepare to Die Edition,22.0
Wasteland 2,21.0
Endless Space,19.8
Garry's Mod,19.8
Portal,16.2
FTL Faster Than Light,15.6
Metro 2033,15.3
Europa Universalis IV,15.0
The Banner Saga,15.0
Guns of Icarus Online,14.1
Batman Arkham City,13.9
Half-Life 2,13.2
Magicite,12.9
Don't Starve Together Beta,12.6
Terraria,12.3
Hotline Miami,11.2
"Warhammer 40,000 Space Marine",10.4
Fallout,10.0
Spec Ops The Line,9.7
System Shock 2,9.4
Dominions 4,9.0
Dishonored,8.6
Magicka,8.4
Stronghold HD,7.9
Crypt of the NecroDancer,7.6
God Mode,7.4
Age of Mythology Extended Edition,7.3
Metro Last Light Redux,7.1
Counter-Strike Global Offensive,5.6
Killing Floor 2,5.3
Dead Space,5.2
Shadowrun Dragonfall - Director's Cut,5.1
BioShock 2,4.9
Divinity II Developer's Cut,4.9
Stronghold Crusader HD,4.6
Sid Meier's Civilization V,4.6
Cities XL Platinum,4.4
Red Faction Guerrilla Steam Edition,3.9
Company of Heroes,3.7
SOMA,3.5
Contagion,3.3
Retrovirus,3.3
Hammerwatch,3.1
RAW - Realms of Ancient War,3.0
LIMBO,2.4
Evochron Mercenary,2.2
DOOM 3 BFG Edition,2.2
Nidhogg,2.1
Don't Starve,1.8
Star Wars Knights of the Old Republic,1.7
Monaco,1.5
The Ship,1.4
"Warhammer 40,000 Dawn of War  Dark Crusade",1.4
Little Inferno,1.4
Unturned,1.3
Saints Row The Third,1.3
Dear Esther,1.2
Fallout 2,1.2
Castle Crashers,1.0
Fallout Tactics,1.0
Of Orcs And Men,0.9
Tomb Raider,0.8
Confrontation,0.6
Total War SHOGUN 2,0.5
Alien Swarm,0.4
Stronghold 2,0.4
Game of Thrones ,0.4
Star Wars - Jedi Knight II Jedi Outcast,0.2
Blood Bowl Legendary Edition,0.1
The Elder Scrolls V Skyrim,95.0
Dragon Age Origins - Ultimate Edition,71.0
Sid Meier's Civilization V,64.0
Bastion,19.2
Costume Quest,1.1
Dota 2,25.0
Team Fortress 2,0.9
Dota 2,1.9
Dota 2,45.0
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,1.7
Shoot Many Robots,0.7
Call of Duty Black Ops II - Multiplayer,77.0
Call of Duty Modern Warfare 3 - Multiplayer,10.2
Call of Duty Modern Warfare 3,6.8
Grand Theft Auto IV,1.9
Call of Duty Black Ops II,1.6
Call of Duty Black Ops II - Zombies,0.3
Counter-Strike Nexon Zombies,0.8
Unturned,0.1
Heroes & Generals,1.9
Unturned,0.1
Team Fortress 2,56.0
Gothic 3,16.5
Dota 2,3.6
Marvel Heroes 2015,54.0
Team Fortress 2,3.8
Counter-Strike Global Offensive,557.0
Worms Clan Wars,2.1
LEGO The Hobbit,0.6
Dota 2,173.0
Call of Duty Modern Warfare 2 - Multiplayer,155.0
Call of Duty Modern Warfare 3 - Multiplayer,123.0
Call of Duty Black Ops - Multiplayer,47.0
Call of Duty Modern Warfare 2,40.0
Portal,36.0
Far Cry 3,24.0
Call of Duty Modern Warfare 3,22.0
Portal 2,18.3
Call of Duty Black Ops,17.4
Half-Life 2 Episode Two,17.1
Half-Life 2 Episode One,7.9
AdVenture Capitalist,6.0
Half-Life 2,4.7
Team Fortress 2,2.2
Half-Life 2 Lost Coast,1.0
The Stanley Parable,0.4
Dota 2,1.8
Cities Skylines,4.6
Total War ROME II - Emperor Edition,530.0
The Elder Scrolls V Skyrim,341.0
Warmachine Tactics,10.4
Dota 2,67.0
Dota 2,2.9
Team Fortress 2,88.0
Dota 2,1.1
Counter-Strike,1159.0
Counter-Strike Global Offensive,3.8
Counter-Strike Global Offensive,1378.0
Day of Defeat Source,109.0
Call of Duty Modern Warfare 3 - Multiplayer,66.0
Call of Duty World at War,65.0
PAYDAY 2,57.0
Call of Duty Modern Warfare 3,24.0
Team Fortress 2,23.0
Left 4 Dead 2,18.8
Watch_Dogs,9.7
Tribes Ascend,3.9
Deus Ex Human Revolution,0.9
Dota 2,0.5
God Mode,0.3
Unturned,0.2
Dota 2,40.0
Dota 2,0.1
Dota 2,26.0
Crash Time II,3.3
Call of Duty Black Ops II - Multiplayer,338.0
Call of Duty Black Ops II - Zombies,36.0
Call of Duty Black Ops II,13.5
Counter-Strike,3.0
Serious Sam HD The Second Encounter,0.4
Dota 2,4.9
Call of Duty Modern Warfare 3 - Multiplayer,337.0
Call of Duty Modern Warfare 3,35.0
R.U.S.E,6.9
Team Fortress 2,5.8
Counter-Strike Source,1534.0
Counter-Strike Global Offensive,1129.0
Call of Duty Modern Warfare 2 - Multiplayer,270.0
Terraria,94.0
Rocket League,93.0
PAYDAY 2,43.0
Left 4 Dead 2,33.0
AdVenture Capitalist,24.0
Team Fortress 2,13.5
Hitman Absolution,9.1
PAYDAY The Heist,7.1
Arma 2 Operation Arrowhead,5.9
Call of Duty Modern Warfare 3 - Multiplayer,4.0
Heroes & Generals,2.3
Dead Rising 2,2.2
F.E.A.R.,2.1
Dota 2,1.8
Rogue Warrior,1.5
Call of Duty Modern Warfare 2,0.7
Hitman Sniper Challenge,0.7
Worms Ultimate Mayhem,0.5
Worms Armageddon,0.3
Alien Swarm,0.2
Garry's Mod,1.6
Dota 2,67.0
Dota 2,0.5
Train Simulator,24.0
Counter-Strike Source,278.0
Counter-Strike Source,1097.0
Rocket League,479.0
Warframe,170.0
Counter-Strike Global Offensive,122.0
H1Z1,77.0
Dungeon Defenders,47.0
Dungeon Defenders II,40.0
Grand Theft Auto IV,34.0
Hammerwatch,32.0
The Binding of Isaac,23.0
Alien Swarm,16.6
Farming Simulator 2011,15.9
Sleeping Dogs,13.4
Batman Arkham Origins,12.9
Darksiders,12.1
Torchlight II,10.5
Red Faction Armageddon,8.6
Terraria,8.6
Team Fortress 2,7.7
Borderlands 2,7.0
Farming Simulator 2013,6.9
Marvel Heroes 2015,6.4
Serious Sam HD The Second Encounter,5.9
Dota 2,5.7
Left 4 Dead 2,5.4
Mafia II,5.2
Torchlight,4.6
Orcs Must Die! 2,4.6
Total War ROME II - Emperor Edition,4.2
Viking Battle for Asgard,3.6
Medal of Honor(TM) Single Player,3.5
Orcs Must Die!,3.5
DayZ,3.2
Just Cause 2,3.2
Batman Arkham Asylum GOTY Edition,3.0
The Bureau XCOM Declassified,3.0
DC Universe Online,2.9
L.A. Noire,2.7
Aliens vs. Predator,2.7
Warlock - Master of the Arcane,2.6
Crysis 2 Maximum Edition,2.4
FINAL FANTASY XIV A Realm Reborn,2.3
Hero Siege,2.3
Red Faction Guerrilla Steam Edition,2.2
DLC Quest,1.6
How to Survive,1.5
Aliens versus Predator Classic 2000,1.5
PAYDAY 2,1.3
Portal,1.3
Arma 2 Operation Arrowhead,1.2
Sid Meier's Civilization III Complete,1.1
One Way Heroics,1.0
Clicker Heroes,1.0
S.T.A.L.K.E.R. Shadow of Chernobyl,1.0
Crusader Kings II,0.9
Spec Ops The Line,0.8
Before the Echo,0.8
DUNGEONS - Steam Special Edition,0.8
Divinity Dragon Commander,0.7
Burnout Paradise The Ultimate Box,0.7
Sanctum 2,0.6
GRID Autosport,0.6
F.E.A.R. 3,0.6
Dragon Age Origins - Ultimate Edition,0.6
Afterfall InSanity Extended Edition,0.5
Delver,0.5
DmC Devil May Cry,0.5
Guardians of Middle-earth,0.5
Mirror's Edge,0.4
Command and Conquer Red Alert 3 - Uprising,0.4
Ultra Street Fighter IV,0.4
Killing Floor,0.3
FORCED,0.3
Natural Selection 2,0.3
Dungeonland,0.3
Arma 2,0.3
Dark Souls Prepare to Die Edition,0.3
Red Faction,0.3
Path of Exile,0.2
ArcheAge,0.2
Metro 2033,0.2
S.T.A.L.K.E.R. Clear Sky,0.2
Scribblenauts Unlimited,0.2
Age of Empires II HD Edition,0.2
Leviathan Warships,0.2
The Witcher Enhanced Edition,0.2
Europa Universalis III,0.2
Prince of Persia The Sands of Time,0.1
Post Apocalyptic Mayhem,0.1
Dota 2,1.3
Warframe,1159.0
Euro Truck Simulator 2,34.0
Defiance,22.0
PlanetSide 2,13.1
Tom Clancy's Ghost Recon Phantoms - EU,11.5
RaceRoom Racing Experience ,9.2
APB Reloaded,4.5
A.V.A - Alliance of Valiant Arms,4.3
HAWKEN,4.2
ArcheAge,4.0
Warface,2.4
Counter-Strike Nexon Zombies,0.8
Firefall,0.8
Metal War Online Retribution,0.3
Counter-Strike Global Offensive,4659.0
Call of Duty Black Ops II - Multiplayer,35.0
theHunter,31.0
Call of Duty 4 Modern Warfare,21.0
Half-Life 2,19.3
Insurgency,16.6
Deus Ex Human Revolution,9.0
Half-Life 2 Episode One,5.4
Call of Duty Black Ops II,3.3
DayZ,3.0
Assassin's Creed,2.0
Half-Life Deathmatch Source,1.1
Counter-Strike Condition Zero,0.9
Team Fortress Classic,0.8
Half-Life 2 Deathmatch,0.8
Call of Duty World at War,0.7
Counter-Strike,0.6
Half-Life Opposing Force,0.5
Zombie Panic Source,395.0
Insurgency Modern Infantry Combat,11.0
Age of Chivalry,0.9
Team Fortress 2,429.0
Rust,5.5
Orcs Must Die!,32.0
Dota 2,55.0
Dota 2,0.6
War of the Roses,114.0
Path of Exile,25.0
Counter-Strike Global Offensive,19.6
Borderlands 2,15.9
War of the Vikings,14.8
GRID Autosport,14.1
Call of Duty Ghosts - Multiplayer,11.2
Torchlight II,9.6
Call of Duty Ghosts,5.1
The Elder Scrolls V Skyrim,4.8
War of the Roses Balance Beta,0.6
Counter-Strike Source,0.2
Team Fortress 2,0.2
Dota 2,9.2
Blade Symphony,2.2
Garry's Mod,80.0
Grand Theft Auto San Andreas,22.0
Counter-Strike Global Offensive,16.9
Team Fortress 2,16.7
Half-Life 2,2.1
Left 4 Dead 2,1.5
Starbound,1.3
Counter-Strike Source,1.2
The Bridge,0.8
Bloody Trapland,0.7
Five Nights at Freddy's,0.6
A.V.A - Alliance of Valiant Arms,0.2
Portal,0.1
Team Fortress 2,309.0
Dead Island,11.9
BIT.TRIP RUNNER,0.2
Dota 2,1445.0
Dota 2,3.7
Team Fortress 2,0.2
Unturned,146.0
Super Hexagon,37.0
Brawlhalla,21.0
Left 4 Dead 2,17.5
VVVVVV,6.4
Neverwinter,6.3
BLOCKADE 3D,3.4
Heroes & Generals,1.6
Robocraft,0.7
Team Fortress 2,0.6
Castle Crashers,0.3
Dragomon Hunter,0.2
Dota 2,6.8
Team Fortress 2,1221.0
Warframe,788.0
Terraria,717.0
Chivalry Medieval Warfare,423.0
Left 4 Dead 2,307.0
Borderlands 2,189.0
Landmark,187.0
Borderlands,143.0
Fallout New Vegas,128.0
Mass Effect 2,105.0
Torchlight II,98.0
The Elder Scrolls IV Oblivion ,95.0
Fallout 3 - Game of the Year Edition,91.0
Dragon Age Origins - Ultimate Edition,86.0
Portal 2,75.0
Starbound,74.0
Far Cry 3,60.0
The Witcher Enhanced Edition,56.0
Star Wars Knights of the Old Republic,54.0
Torchlight,51.0
STAR WARS Knights of the Old Republic II The Sith Lords,45.0
Deus Ex Human Revolution,45.0
Castle Crashers,40.0
Blood Bowl Legendary Edition,35.0
Batman Arkham City GOTY,35.0
Mass Effect,30.0
XCOM Enemy Unknown,29.0
Unepic,29.0
Overlord II,28.0
Dishonored,27.0
Mark of the Ninja,25.0
Legend of Grimrock,25.0
Magicka,23.0
The Talos Principle,23.0
Banished,23.0
Rogue Legacy,22.0
Orcs Must Die! 2,21.0
Total War SHOGUN 2,19.9
BioShock,18.3
Batman Arkham Asylum GOTY Edition,18.3
BioShock 2,17.9
BioShock Infinite,16.4
Overlord,16.4
Reus,14.9
BattleBlock Theater,12.6
Half-Life 2,12.4
"Warhammer 40,000 Dawn of War  Dark Crusade",11.9
Orcs Must Die!,11.4
Chaos on Deponia,9.3
Indiana Jones and the Fate of Atlantis,9.2
Goodbye Deponia,8.8
Don't Starve,7.9
Deponia,7.9
Monkey Island 2 Special Edition,7.9
Evoland,7.5
Trine,7.4
Primordia,6.9
SteamWorld Dig,6.7
The Cave,6.4
The Elder Scrolls V Skyrim,5.8
The Dig,5.7
Half-Life 2 Episode Two,4.8
Indiana Jones and the Last Crusade,4.7
Magic The Gathering - Duels of the Planeswalkers,4.1
Long Live The Queen,3.8
Skullgirls,3.6
"Papers, Please",3.1
Rock of Ages,3.1
The Stanley Parable,3.1
Trine 2,3.1
Half-Life 2 Episode One,3.0
Age of Mythology Extended Edition,2.3
Loom,2.2
Baldur's Gate Enhanced Edition,2.0
Another World,1.7
Sid Meier's Pirates!,1.4
The Witcher 2 Assassins of Kings Enhanced Edition,1.2
Crysis 2 Maximum Edition,1.1
"Warhammer 40,000 Dawn of War II  Retribution",1.1
Home,1.1
Intrusion 2,0.8
Vampire The Masquerade - Bloodlines,0.7
The Secret of Monkey Island Special Edition,0.6
Dragon's Lair,0.6
"Warhammer 40,000 Dawn of War II - Chaos Rising",0.6
Edge of Space,0.4
Crypt of the NecroDancer,0.3
Homeworld Remastered Collection,0.3
Amnesia The Dark Descent,0.3
Half-Life 2 Lost Coast,0.2
ARK Survival Evolved,0.2
Dota 2,2.0
Dota 2,0.4
Outlast,18.5
Rayman Legends,16.4
Portal,11.9
Amnesia The Dark Descent,7.0
Portal 2,3.9
Spiral Knights,2.1
Star Trek D-A-C,0.1
Dota 2,1797.0
Team Fortress 2,258.0
Dota 2,239.0
DiggerOnline,45.0
Five Nights at Freddy's 2,1.1
Call of Duty Modern Warfare 2,8.4
Dota 2,1.7
GRAV,73.0
Star Trek Online,52.0
The Repopulation,41.0
PAYDAY 2,27.0
Counter-Strike Global Offensive,22.0
Garry's Mod,21.0
The Elder Scrolls V Skyrim,12.6
Tom Clancy's Ghost Recon Phantoms - EU,12.2
Transformers Fall of Cybertron,11.1
Firefall,8.7
Marvel Heroes 2015,8.1
Neverwinter,7.8
Warframe,4.7
Infinite Crisis,4.6
Dragon Nest Europe,4.5
BloodRealm Battlegrounds,4.2
Age of Conan Unchained - EU version,4.1
Star Conflict,3.8
Devilian,3.7
Injustice Gods Among Us Ultimate Edition,3.2
The Lord of the Rings Online,3.2
Infinity Wars - Animated Trading Card Game,3.2
Star Wars Knights of the Old Republic,3.1
Arma 3,3.0
Dishonored (RU),2.9
"Warhammer 40,000 Space Marine",2.3
Mortal Kombat Kollection,2.0
Dota 2,1.7
Rise of Incarnates,1.6
Star Wars Jedi Knight Jedi Academy,1.5
Champions Online,1.2
Path of Exile,1.2
Star Crusade CCG,1.2
Defiance,1.1
Nosgoth,1.1
Forsaken World ,1.1
APB Reloaded,0.9
Star Wars The Force Unleashed Ultimate Sith Edition,0.9
Fishing Planet,0.8
Half-Life 2,0.8
Stranded Deep,0.6
Warface,0.6
Fractured Space,0.4
Global Agenda,0.3
HAWKEN,0.3
SolForge,0.3
Dragomon Hunter,0.3
Deus Ex Human Revolution - Director's Cut,0.2
Deadbreed,0.2
Dragons and Titans,0.2
Counter-Strike Nexon Zombies,0.2
Panzar,0.1
Epic Cards Battle(TCG),0.1
Team Fortress 2,0.3
Team Fortress 2,10.7
Call of Duty Modern Warfare 2 - Multiplayer,2.7
Terraria,0.9
Call of Duty Modern Warfare 2,0.6
The Secret of Monkey Island Special Edition,11.9
Counter-Strike Source,304.0
Half-Life 2 Deathmatch,4.7
Alien Swarm,2.2
Day of Defeat Source,0.9
Team Fortress 2,0.1
Heroes & Generals,1.1
Warface,0.4
Robocraft,16.9
Dota 2,386.0
Out There Somewhere,0.2
Counter-Strike,0.9
Dota 2,2.6
Dota 2,31.0
Dota 2,3.6
Dota 2,42.0
The Binding of Isaac Rebirth,49.0
Child of Light,11.6
Don't Starve,7.5
DC Universe Online,0.3
"Warhammer 40,000 Dawn of War II",1.1
Counter-Strike Source,510.0
Left 4 Dead 2,431.0
Left 4 Dead,125.0
Dead Island,26.0
Portal 2,17.7
Tomb Raider,16.6
Metro 2033,12.4
Portal,10.1
Amnesia A Machine for Pigs,5.0
Alan Wake,3.3
Darksiders,0.8
Day of Defeat Source,0.6
Team Fortress 2,0.6
Codename CURE,0.3
Enclave,0.2
Half-Life 2 Deathmatch,0.1
Team Fortress 2,1.1
DC Universe Online,1326.0
Call of Duty Black Ops II - Multiplayer,216.0
Battlefield Bad Company 2,208.0
Robocraft,102.0
Call of Duty Modern Warfare 2 - Multiplayer,77.0
Call of Duty Black Ops - Multiplayer,57.0
Left 4 Dead 2,54.0
Call of Duty Modern Warfare 3,51.0
Call of Duty Black Ops II - Zombies,48.0
Call of Duty Black Ops,43.0
Project CARS,34.0
Call of Duty Ghosts - Multiplayer,32.0
Call of Duty World at War,26.0
Call of Duty Black Ops III,25.0
Call of Duty Modern Warfare 3 - Multiplayer,24.0
Call of Duty Advanced Warfare - Multiplayer,18.0
Call of Duty Modern Warfare 2,14.4
Alien Swarm,4.5
Gotham City Impostors,3.6
Team Fortress 2,2.2
rFactor,2.2
Counter-Strike Global Offensive,2.0
BLOCKADE 3D,1.8
Borderlands 2,1.6
PAYDAY 2,1.0
No More Room in Hell,0.6
Blacklight Retribution,0.5
Warface,0.1
PAYDAY 2,18.4
APB Reloaded,558.0
Grand Theft Auto V,134.0
DC Universe Online,83.0
Saints Row IV,47.0
The Elder Scrolls V Skyrim,37.0
Saints Row The Third,26.0
Team Fortress 2,19.2
Gotham City Impostors Free To Play,16.1
Mortal Kombat Komplete Edition,4.3
Grand Theft Auto IV,3.3
Injustice Gods Among Us Ultimate Edition,2.7
Broforce,1.1
The Expendabros,1.1
Batman Arkham Asylum GOTY Edition,0.8
Batman Arkham City GOTY,0.1
Counter-Strike,1447.0
Counter-Strike Global Offensive,312.0
Clicker Heroes,84.0
Gems of War,47.0
Counter-Strike Nexon Zombies,22.0
Dota 2,17.7
AdVenture Capitalist,15.9
Burnout Paradise The Ultimate Box,15.3
Sniper Elite V2,11.5
S.K.I.L.L. - Special Force 2,11.3
Path of Exile,11.2
Sniper Ghost Warrior 2,8.6
12 Labours of Hercules,7.1
9 Clues 2 The Ward,5.1
The Darkness II,4.9
Dishonored,3.8
Team Fortress 2,3.5
Strife,3.3
9 Clues The Secret of Serpent Creek,3.3
Frankenstein Master of Death,2.9
War Inc. Battlezone,2.6
Left 4 Dead 2,1.9
Fallout New Vegas,1.4
Far Cry 2,1.2
Warface,0.9
Sakura Clicker,0.7
Nikopol Secrets of the Immortals,0.6
Anomaly Warzone Earth,0.5
Lead and Gold - Gangs of the Wild West,0.5
Teddy Floppy Ear - The Race,0.4
Curse The Eye of Isis,0.2
Car Mechanic Simulator 2015,8.6
Counter-Strike,7.7
Alien Swarm,1.6
Dota 2,0.8
Team Fortress 2,1.2
Dota 2,1.1
Tom Clancy's Ghost Recon Phantoms - NA,76.0
Robocraft,75.0
Dota 2,44.0
Stronghold Kingdoms,32.0
Magicka Wizard Wars,23.0
Unturned,9.6
F.E.A.R. Online,4.9
Warframe,3.6
Echoes+,3.4
GunZ 2 The Second Duel,1.3
Clicker Heroes,0.5
Dead Island Epidemic,0.4
Dota 2,64.0
Stronghold Kingdoms,480.0
Team Fortress 2,11.9
Half-Life 2 Episode Two,5.0
Half-Life 2,4.0
Half-Life 2 Episode One,3.9
Portal,3.0
Half-Life 2 Lost Coast,0.6
Left 4 Dead 2,0.4
Goat Simulator,9.3
Dota 2,73.0
AI War Fleet Command,1.1
Dota 2,14.1
Batman Arkham Knight,54.0
Counter-Strike Global Offensive,15.8
Batman Arkham Asylum GOTY Edition,6.0
Batman Arkham Origins,4.6
Dota 2,1.4
Red Crucible Firestorm,1.3
GRID Autosport,1.2
Batman Arkham City GOTY,1.1
Marvel Heroes 2015,1.0
Gotham City Impostors Free To Play,0.6
War Thunder,0.5
Team Fortress 2,0.3
theHunter,0.2
Batman Arkham Origins Blackgate - Deluxe Edition,0.1
Counter-Strike Nexon Zombies,0.1
SMITE,0.1
Tactical Intervention,0.1
War Thunder,11.6
Brawlhalla,5.9
Warframe,1.0
Unturned,0.6
Tactical Intervention,0.2
Dota 2,30.0
Insurgency Modern Infantry Combat,2.5
Sniper Ghost Warrior,4.4
Rising Storm/Red Orchestra 2 Multiplayer,3.8
Dead Island,1.9
Magicka,0.3
Company of Heroes Tales of Valor,0.1
Dota 2,4.6
Dota 2,334.0
Strife,4.7
Unturned,3.2
War Thunder,2.1
Team Fortress 2,6.5
Left 4 Dead 2,4.4
Europa Universalis IV,571.0
Football Manager 2014,321.0
Total War ROME II - Emperor Edition,293.0
Football Manager 2013,293.0
Football Manager 2012,275.0
Wargame AirLand Battle,149.0
Empire Total War,126.0
Total War SHOGUN 2,101.0
Football Manager 2010,98.0
War Thunder,86.0
Total War ATTILA,80.0
Football Manager 2015,78.0
Football Manager 2016,53.0
Hearts of Iron III,53.0
Napoleon Total War,47.0
Rome Total War,42.0
Call of Duty Modern Warfare 2,38.0
Anno 2070,28.0
Cities Skylines,26.0
Wargame Red Dragon,24.0
XCOM Enemy Unknown,24.0
Max Payne 3,20.0
Mount & Blade With Fire and Sword,16.8
Crusader Kings II,16.4
Medieval II Total War,15.6
This War of Mine,12.2
Ultimate General Gettysburg,11.7
Total War Battles KINGDOM,11.5
Cities XL Platinum,10.9
March of the Eagles,10.9
Medieval II Total War Kingdoms,10.3
Tropico 5,9.6
Wargame European Escalation,7.6
Tom Clancy's Ghost Recon Phantoms - EU,5.9
Mount & Blade Warband,5.8
Tropico 4,5.6
Euro Truck Simulator 2,4.3
Sid Meier's Civilization V,3.8
Fractured Space,3.8
BioShock Infinite,3.6
Grand Theft Auto IV,3.4
Endless Space,3.0
Sengoku,2.6
Call of Juarez Gunslinger,1.7
PAYDAY 2,1.5
Metro 2033,1.3
Europa Universalis III,1.2
Alien Isolation,1.1
The Raven - Legacy of a Master Thief,1.1
L.A. Noire,0.9
Sniper Ghost Warrior 2,0.5
Elite Dangerous,0.4
Call of Duty Modern Warfare 2 - Multiplayer,0.4
Sonic & All-Stars Racing Transformed,0.4
Grand Theft Auto Episodes from Liberty City,0.4
Dead Island,0.4
S.T.A.L.K.E.R. Call of Pripyat,0.2
Company of Heroes (New Steam Version),0.2
Civil War II,0.2
A-Train 8,0.1
Rome Total War - Alexander,0.1
Fistful of Frags,2.5
Eldevin,2.3
MapleStory,2.3
Toribash,1.2
Unturned,0.2
Floating Point,0.2
Happy Wars,0.1
Dota 2,271.0
Counter-Strike,368.0
Counter-Strike Global Offensive,122.0
Counter-Strike Condition Zero,44.0
Counter-Strike Condition Zero Deleted Scenes,12.4
War Inc. Battlezone,1.7
Football Manager 2014,826.0
Football Manager 2012,472.0
Football Manager 2015,222.0
Football Manager 2013,222.0
Age of Empires III Complete Collection,111.0
Football Manager 2016,70.0
Football Manager 2016 Demo,5.7
Transformice,0.4
Counter-Strike,1312.0
Day of Defeat,81.0
Team Fortress 2,1.2
Half-Life Blue Shift,0.5
Dota 2,443.0
Unturned,23.0
No More Room in Hell,9.1
APB Reloaded,1.2
Robocraft,0.5
Counter-Strike Global Offensive,328.0
Team Fortress 2,24.0
PAYDAY 2,12.4
Besiege,8.0
Left 4 Dead 2,7.2
Unturned,4.5
APB Reloaded,3.2
GunZ 2 The Second Duel,2.5
Dota 2,2.0
Trove,0.2
MicroVolts Surge,0.2
Fallout 4,63.0
Call of Duty Modern Warfare 3,16.9
Call of Duty Black Ops II,10.5
Left 4 Dead 2,8.5
Call of Duty Modern Warfare 3 - Multiplayer,7.8
DayZ,3.1
Call of Duty Black Ops II - Multiplayer,2.7
Call of Duty Black Ops II - Zombies,2.6
DC Universe Online,624.0
Super Meat Boy,10.0
Champions Online,0.5
Dota 2,24.0
Warface,19.9
Gotham City Impostors Free To Play,1.4
Firefall,1.1
GunZ 2 The Second Duel,0.8
Counter-Strike Global Offensive,70.0
Far Cry 3,3.9
Counter-Strike Nexon Zombies,1.0
Dota 2,61.0
Warframe,1.6
Rise of Incarnates,0.3
Dota 2,4.0
Dota 2,3.2
H1Z1,10.4
No More Room in Hell,1.8
Dota 2,4.7
Sid Meier's Civilization V,143.0
Left 4 Dead 2,66.0
Team Fortress 2,62.0
Garry's Mod,38.0
The Witcher Enhanced Edition,30.0
Half-Life 2,27.0
The Witcher 2 Assassins of Kings Enhanced Edition,18.0
Grand Theft Auto IV,9.6
Portal 2,9.6
Counter-Strike Global Offensive,8.9
Unturned,8.1
Grand Theft Auto Episodes from Liberty City,7.6
Tomb Raider,5.2
Killing Floor,4.7
Amnesia A Machine for Pigs,3.7
Metro 2033,3.4
Half-Life 2 Episode One,3.3
Guns of Icarus Online,2.7
Half-Life 2 Episode Two,2.4
SpeedRunners,2.3
Counter-Strike Source,2.1
PAYDAY The Heist,2.1
Killing Floor 2,2.0
Saints Row The Third,1.8
Portal,1.7
Terraria,0.8
Natural Selection 2,0.6
Mirror's Edge,0.5
Dead Island,0.3
Half-Life 2 Lost Coast,0.1
Napoleon Total War,18.6
Total War SHOGUN 2,8.3
War Thunder,0.6
Team Fortress 2,8.2
Ace of Spades,2.7
Team Fortress 2,0.2
Dota 2,1.0
Arma 2 Operation Arrowhead,10.7
Darksiders,4.0
Tom Clancy's Ghost Recon Phantoms - EU,1.4
Arma 2,0.8
Dota 2,0.3
Arma 2 DayZ Mod,0.1
Heroes & Generals,0.4
Dota 2,2.6
Unturned,1.5
Team Fortress 2,36.0
"Warhammer 40,000 Dawn of War II  Retribution",41.0
Dota 2,1.7
PAYDAY 2,183.0
Darksiders II,24.0
BioShock Infinite,13.3
Counter-Strike Source,8.4
Team Fortress 2,6.7
MURDERED SOUL SUSPECT,1.7
Dota 2,748.0
Counter-Strike Global Offensive,21.0
Darksiders,8.7
Euro Truck Simulator 2,8.5
Assassin's Creed IV Black Flag,7.9
Nosgoth,6.2
Tom Clancy's Ghost Recon Phantoms - EU,4.0
ARK Survival Evolved,3.5
Dota 2,1.3
Dota 2,22.0
Counter-Strike,2526.0
Dota 2,1906.0
Counter-Strike Global Offensive,725.0
Total War SHOGUN 2,23.0
DayZ,5.4
Counter-Strike Condition Zero,1.0
Deathmatch Classic,0.3
Day of Defeat,0.2
Dota 2,0.7
Dota 2,4.5
Dota 2,2.4
Counter-Strike Source,12.0
Empire Total War,1.5
Tom Clancy's Ghost Recon Phantoms - EU,1.9
Counter-Strike Global Offensive,0.2
Dota 2,0.4
Euro Truck Simulator 2,27.0
Unturned,1.3
Team Fortress 2,743.0
Unturned,83.0
War Thunder,8.7
Garry's Mod,7.2
BLOCKADE 3D,6.6
No More Room in Hell,5.8
Mitos.is The Game,5.1
Five Nights at Freddy's,2.2
Creativerse,1.8
Call of Tomsk-7,1.5
Guns and Robots,1.0
Haunted Memories,0.8
UberStrike,0.5
Krosmaster Arena,0.4
Warface,0.3
Heroes & Generals,0.2
Trove,0.2
Cubic Castles,0.1
Dota 2,3.0
Dota 2,75.0
Dota 2,39.0
Dota 2,1.0
Total War SHOGUN 2,1169.0
Football Manager 2015,501.0
The Elder Scrolls V Skyrim,234.0
Napoleon Total War,18.8
Total War ROME II - Emperor Edition,12.5
The Elder Scrolls IV Oblivion ,11.0
Merchants of Kaidan,4.9
Empire Total War,3.0
WAKFU,1.2
Lego Harry Potter,0.6
Football Manager 2016 Demo,0.1
Dota 2,0.6
Dota 2,15.4
Pro Evolution Soccer 2015,201.0
Total War ROME II - Emperor Edition,81.0
Empire Total War,30.0
Cities Skylines,12.3
Total War ATTILA,10.4
Thief,5.6
